"Activity","Work Details","Time Stamps","Duration","Pole Attachments","DG Anchors","Project"
"Traveling","Driving to TAMPA","03:57:00 PM","02:00:00","","","TECO99-01"
"Arrived","Parked at Jobsite","05:57:00 PM","00:15:00","","","TECO99-01"
"Setup","Equip. and plan route","06:12:00 PM","00:04:00","","","TECO99-01"
"P1","Pole","06:16:00 PM","00:03:00","","","TECO99-01"
"P1","N Span","06:19:00 PM","00:01:00","","","TECO99-01"
"P1","E Span","06:20:00 PM","","","","TECO99-01"
"P1.1","POLE","06:23AM","","","","TECO99-01"
